,index,Date,Day,Comp,Round,Venue,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Name,Season,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,WDL,GoalsTeams,Team Score,Opp Score,CS,Was Home,GW
0,0,2023-08-20,Sun,Premier League,Matchweek 2,Home,West Ham,Chelsea,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Aaron-Cresswell,2023-24,0,0,0,0,0,0,0,0,W,3–1,3,1,0.0,1.0,2
1,1,2023-08-26,Sat,Premier League,Matchweek 3,Away,West Ham,Brighton,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Aaron-Cresswell,2023-24,0,0,0,0,0,0,0,0,W,3–1,3,1,0.0,0.0,3
2,2,2023-09-01,Fri,Premier League,Matchweek 4,Away,West Ham,Luton Town,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Aaron-Cresswell,2023-24,0,0,0,0,0,0,0,0,W,2–1,2,1,0.0,0.0,4
3,0,2023-08-13,Sun,Premier League,Matchweek 1,Home,Brentford,Tottenham,Y,RB,71.0,0.0,0.0,0,0,1,0,1,0,31.0,3.0,0,1.0,0.0,0.0,0.1,1.0,0.0,22.0,25.0,88.0,1.0,17.0,1.0,2.0,1.0,Match Report,Aaron-Hickey,2023-24,,,,,,,,,D,2–2,2,2,0.0,1.0,1
4,1,2023-08-19,Sat,Premier League,Matchweek 2,Away,Brentford,Fulham,Y,RB,77.0,0.0,0.0,0,0,0,0,1,0,33.0,0.0,1,0.0,0.0,0.0,0.0,3.0,0.0,27.0,30.0,90.0,2.0,27.0,0.0,2.0,1.0,Match Report,Aaron-Hickey,2023-24,,,,,,,,,W,3–0,3,0,1.0,0.0,2
5,2,2023-08-26,Sat,Premier League,Matchweek 3,Home,Brentford,Crystal Palace,Y,RB,90.0,0.0,0.0,0,0,0,0,0,0,73.0,1.0,1,2.0,0.0,0.0,0.0,1.0,0.0,53.0,60.0,88.3,5.0,45.0,1.0,4.0,0.0,Match Report,Aaron-Hickey,2023-24,,,,,,,,,D,1–1,1,1,0.0,1.0,3
7,4,2023-09-02,Sat,Premier League,Matchweek 4,Home,Brentford,Bournemouth,Y,RB,81.0,0.0,0.0,0,0,1,0,0,0,57.0,5.0,0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,42.0,90.5,4.0,32.0,1.0,3.0,2.0,Match Report,Aaron-Hickey,2023-24,,,,,,,,,D,2–2,2,2,0.0,1.0,4
9,1,2023-08-12,Sat,Premier League,Matchweek 1,Home,Arsenal,Nott'ham Forest,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,30.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,29.0,79.3,0.0,20.0,0.0,0.0,0.0,Match Report,Aaron-Ramsdale,2023-24,,,,,,,,,W,2–1,2,1,0.0,1.0,1
10,2,2023-08-21,Mon,Premier League,Matchweek 2,Away,Arsenal,Crystal Palace,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,29.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,27.0,66.7,0.0,21.0,0.0,0.0,0.0,Match Report,Aaron-Ramsdale,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,2
11,3,2023-08-26,Sat,Premier League,Matchweek 3,Home,Arsenal,Fulham,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,35.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,34.0,91.2,1.0,20.0,0.0,0.0,0.0,Match Report,Aaron-Ramsdale,2023-24,,,,,,,,,D,2–2,2,2,0.0,1.0,3
12,4,2023-09-03,Sun,Premier League,Matchweek 4,Home,Arsenal,Manchester Utd,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,28.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,85.2,1.0,22.0,0.0,0.0,0.0,Match Report,Aaron-Ramsdale,2023-24,,,,,,,,,W,3–1,3,1,0.0,1.0,4
13,0,2023-08-27,Sun,Premier League,Matchweek 3,Home,Burnley,Aston Villa,N,FW,23.0,0.0,0.0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,1.0,5.0,0.0,0.0,0.0,Match Report,Aaron-Ramsey,2023-24,,,,,,,,,L,1–3,1,3,0.0,1.0,3
15,0,2023-08-14,Mon,Premier League,Matchweek 1,Home,Manchester Utd,Wolves,Y,RB,90.0,0.0,1.0,0,0,0,0,0,0,68,2,2,3,0.0,0.0,1.0,3,1,47,51,92.2,3,42,1,4,3,Match Report,Aaron-Wan-Bissaka,2023-24,,,,,,,,,W,1–0,1,0,1.0,1.0,1
16,1,2023-08-19,Sat,Premier League,Matchweek 2,Away,Manchester Utd,Tottenham,Y,RB,65.0,0.0,0.0,0,0,0,0,1,0,50,0,2,1,0.0,0.0,0.1,1,0,38,44,86.4,1,29,1,2,1,Match Report,Aaron-Wan-Bissaka,2023-24,,,,,,,,,L,0–2,0,2,0.0,0.0,2
17,2,2023-08-26,Sat,Premier League,Matchweek 3,Home,Manchester Utd,Nott'ham Forest,Y,RB,90.0,0.0,0.0,0,0,0,0,1,0,79,4,2,3,0.0,0.0,0.0,3,0,58,69,84.1,9,55,7,2,1,Match Report,Aaron-Wan-Bissaka,2023-24,,,,,,,,,W,3–2,3,2,0.0,1.0,3
18,3,2023-09-03,Sun,Premier League,Matchweek 4,Away,Manchester Utd,Arsenal,Y,RB,90.0,0.0,0.0,0,0,0,0,0,0,72,5,1,0,0.0,0.0,0.0,0,0,44,54,81.5,2,30,2,0,0,Match Report,Aaron-Wan-Bissaka,2023-24,,,,,,,,,L,1–3,1,3,0.0,0.0,4
19,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Everton,Fulham,Y,FW,90.0,0.0,0.0,0,0,2,1,0,0,36.0,0.0,0,2.0,0.6,0.6,0.8,3.0,0.0,22.0,27.0,81.5,3.0,20.0,3.0,2.0,0.0,Match Report,Abdoulaye-Doucoure,2023-24,,,,,,,,,L,0–1,0,1,0.0,1.0,1
20,1,2023-08-20,Sun,Premier League,Matchweek 2,Away,Everton,Aston Villa,Y,"CM,FW",89.0,0.0,0.0,0,0,1,0,0,0,30.0,1.0,1,0.0,0.1,0.1,0.0,1.0,0.0,21.0,26.0,80.8,2.0,18.0,2.0,2.0,2.0,Match Report,Abdoulaye-Doucoure,2023-24,,,,,,,,,L,0–4,0,4,0.0,0.0,2
21,2,2023-08-26,Sat,Premier League,Matchweek 3,Home,Everton,Wolves,Y,CM,90.0,0.0,0.0,0,0,1,1,0,0,48.0,6.0,1,3.0,0.2,0.2,0.0,3.0,0.0,26.0,31.0,83.9,4.0,30.0,2.0,3.0,1.0,Match Report,Abdoulaye-Doucoure,2023-24,,,,,,,,,L,0–1,0,1,0.0,1.0,3
23,4,2023-09-02,Sat,Premier League,Matchweek 4,Away,Everton,Sheffield Utd,Y,FW,90.0,1.0,0.0,0,0,4,3,1,0,57.0,1.0,0,2.0,1.1,1.1,0.2,3.0,1.0,37.0,47.0,78.7,3.0,31.0,3.0,1.0,1.0,Match Report,Abdoulaye-Doucoure,2023-24,,,,,,,,,D,2–2,2,2,0.0,0.0,4
24,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Sheffield Utd,Crystal Palace,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Adam-Davies,2023-24,0,0,0,0,0,0,0,0,L,0–1,0,1,0.0,1.0,1
25,1,2023-08-18,Fri,Premier League,Matchweek 2,Away,Sheffield Utd,Nott'ham Forest,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Adam-Davies,2023-24,0,0,0,0,0,0,0,0,L,1–2,1,2,0.0,0.0,2
26,2,2023-08-27,Sun,Premier League,Matchweek 3,Home,Sheffield Utd,Manchester City,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Adam-Davies,2023-24,0,0,0,0,0,0,0,0,L,1–2,1,2,0.0,1.0,3
28,4,2023-09-02,Sat,Premier League,Matchweek 4,Home,Sheffield Utd,Everton,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Adam-Davies,2023-24,0,0,0,0,0,0,0,0,D,2–2,2,2,0.0,1.0,4
29,0,2023-08-19,Sat,Premier League,Matchweek 2,Away,Brighton,Wolves,N,LW,10.0,0.0,0.0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,18,19,94.7,2,11,0,0,0,Match Report,Adam-Lallana,2023-24,,,,,,,,,W,4–1,4,1,0.0,0.0,2
30,1,2023-08-26,Sat,Premier League,Matchweek 3,Home,Brighton,West Ham,N,DM,31.0,0.0,0.0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.0,3,0,21,24,87.5,2,18,0,0,0,Match Report,Adam-Lallana,2023-24,,,,,,,,,L,1–3,1,3,0.0,1.0,3
31,2,2023-09-02,Sat,Premier League,Matchweek 4,Home,Brighton,Newcastle Utd,N,FW,10.0,0.0,0.0,0,0,0,0,1,0,16,1,0,0,0.0,0.0,0.0,0,0,14,14,100.0,1,7,0,0,0,Match Report,Adam-Lallana,2023-24,,,,,,,,,W,3–1,3,1,0.0,1.0,4
32,0,2023-09-02,Sat,Premier League,Matchweek 4,Away,Bournemouth,Brentford,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Adam-Smith,2023-24,0,0,0,0,0,0,0,0,D,2–2,2,2,0.0,0.0,4
33,0,2023-08-19,Sat,Premier League,Matchweek 2,Away,Brighton,Wolves,Y,CB,90.0,0.0,0.0,0,0,0,0,1,0,66,3,1,1,0.0,0.0,0.0,0,0,49,54,90.7,4,36,1,0,0,Match Report,Adam-Webster,2023-24,,,,,,,,,W,4–1,4,1,0.0,0.0,2
34,1,2023-08-26,Sat,Premier League,Matchweek 3,Home,Brighton,West Ham,Y,CB,90.0,0.0,0.0,0,0,0,0,0,0,118,1,1,0,0.0,0.0,0.0,2,0,100,113,88.5,15,99,4,0,0,Match Report,Adam-Webster,2023-24,,,,,,,,,L,1–3,1,3,0.0,1.0,3
35,2,2023-09-02,Sat,Premier League,Matchweek 4,Home,Brighton,Newcastle Utd,N,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,Adam-Webster,2023-24,,,,,,,,,W,3–1,3,1,0.0,1.0,4
36,0,2023-08-19,Sat,Premier League,Matchweek 2,Home,Fulham,Brentford,N,RB,5.0,0.0,0.0,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,2.0,0.0,0.0,0.0,Match Report,Adama-Traore,2023-24,,,,,,,,,L,0–3,0,3,0.0,1.0,2
37,1,2023-08-26,Sat,Premier League,Matchweek 3,Away,Fulham,Arsenal,N,"RW,CM",20.0,0.0,0.0,0,0,1,1,0,0,7.0,0.0,0,0.0,0.2,0.2,0.0,0.0,0.0,1.0,2.0,50.0,0.0,5.0,1.0,1.0,0.0,Match Report,Adama-Traore,2023-24,,,,,,,,,D,2–2,2,2,0.0,0.0,3
39,3,2023-09-02,Sat,Premier League,Matchweek 4,Away,Fulham,Manchester City,N,RW,10.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,Match Report,Adama-Traore,2023-24,,,,,,,,,L,1–5,1,5,0.0,0.0,4
40,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Luton Town,Brighton,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Aidan-Francis,2023-24,0,0,0,0,0,0,0,0,L,1–4,1,4,0.0,0.0,1
41,2,2023-09-01,Fri,Premier League,Matchweek 4,Home,Luton Town,West Ham,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Aidan-Francis,2023-24,0,0,0,0,0,0,0,0,L,1–2,1,2,0.0,1.0,4
42,0,2023-08-14,Mon,Premier League,Matchweek 1,Home,Manchester Utd,Wolves,Y,LM,67.0,0.0,0.0,0,0,4,0,0,0,43,1,0,2,0.1,0.1,0.0,2,0,24,29,82.8,3,30,2,2,1,Match Report,Alejandro-Garnacho,2023-24,,,,,,,,,W,1–0,1,0,1.0,1.0,1
43,1,2023-08-19,Sat,Premier League,Matchweek 2,Away,Manchester Utd,Tottenham,Y,LW,65.0,0.0,0.0,0,0,3,1,0,0,23,0,1,0,0.2,0.2,0.0,6,0,9,16,56.3,1,20,6,2,1,Match Report,Alejandro-Garnacho,2023-24,,,,,,,,,L,0–2,0,2,0.0,0.0,2
44,2,2023-08-26,Sat,Premier League,Matchweek 3,Home,Manchester Utd,Nott'ham Forest,N,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,Alejandro-Garnacho,2023-24,,,,,,,,,W,3–2,3,2,0.0,1.0,3
45,3,2023-09-03,Sun,Premier League,Matchweek 4,Away,Manchester Utd,Arsenal,N,RW,7.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Match Report,Alejandro-Garnacho,2023-24,,,,,,,,,L,1–3,1,3,0.0,0.0,4
46,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Fulham,Everton,N,FW,33.0,0.0,0.0,0,0,2,1,0,0,12.0,0.0,0,0.0,0.2,0.2,0.0,2.0,1.0,4.0,8.0,50.0,1.0,5.0,0.0,3.0,3.0,Match Report,Aleksandar-Mitrovic,2023-24,,,,,,,,,W,1–0,1,0,1.0,0.0,1
50,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Everton,Fulham,Y,"LM,RM",90.0,0.0,0.0,0,0,4,2,0,0,44,1,1,2,0.3,0.3,0.1,11,0,22,30,73.3,4,25,3,4,3,Match Report,Alex-Iwobi,2023-24,,,,,,,,,L,0–1,0,1,0.0,1.0,1
51,1,2023-08-20,Sun,Premier League,Matchweek 2,Away,Everton,Aston Villa,Y,"LM,RM",50.0,0.0,0.0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.1,1,0,5,12,41.7,0,8,3,0,0,Match Report,Alex-Iwobi,2023-24,,,,,,,,,L,0–4,0,4,0.0,0.0,2
52,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Newcastle Utd,Aston Villa,Y,FW,67.0,2.0,0.0,0,0,3,3,0,0,24,0,0,0,0.8,0.8,0.0,1,0,12,16,75.0,1,16,2,3,1,Match Report,Alexander-Isak,2023-24,,,,,,,,,W,5–1,5,1,0.0,1.0,1
53,1,2023-08-19,Sat,Premier League,Matchweek 2,Away,Newcastle Utd,Manchester City,Y,FW,65.0,0.0,0.0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,2,0,8,10,80.0,1,9,1,2,1,Match Report,Alexander-Isak,2023-24,,,,,,,,,L,0–1,0,1,0.0,0.0,2
54,2,2023-08-27,Sun,Premier League,Matchweek 3,Home,Newcastle Utd,Liverpool,Y,FW,71.0,0.0,0.0,0,0,1,1,0,0,7,0,0,0,0.2,0.2,0.1,2,0,4,5,80.0,1,6,0,0,0,Match Report,Alexander-Isak,2023-24,,,,,,,,,L,1–2,1,2,0.0,1.0,3
55,3,2023-09-02,Sat,Premier League,Matchweek 4,Away,Newcastle Utd,Brighton,Y,"FW,LW",73.0,0.0,0.0,0,0,4,0,0,0,25,0,0,0,0.4,0.4,0.0,2,0,11,16,68.8,2,19,3,6,5,Match Report,Alexander-Isak,2023-24,,,,,,,,,L,1–3,1,3,0.0,0.0,4
56,0,2023-08-13,Sun,Premier League,Matchweek 1,Away,Liverpool,Chelsea,Y,CM,90.0,0.0,0.0,0,0,0,0,1,0,61,3,1,2,0.0,0.0,0.0,2,1,46,52,88.5,5,42,1,3,2,Match Report,Alexis-Mac-Allister,2023-24,,,,,,,,,D,1–1,1,1,0.0,0.0,1
57,1,2023-08-19,Sat,Premier League,Matchweek 2,Home,Liverpool,Bournemouth,Y,CM,57.0,0.0,0.0,0,0,0,0,0,1,60,2,0,1,0.0,0.0,0.0,2,0,40,50,80.0,6,37,1,3,2,Match Report,Alexis-Mac-Allister,2023-24,,,,,,,,,W,3–1,3,1,0.0,1.0,2
58,2,2023-08-27,Sun,Premier League,Matchweek 3,Away,Liverpool,Newcastle Utd,Y,"CM,LM",76.0,0.0,0.0,0,0,0,0,0,0,36,2,4,4,0.0,0.0,0.0,1,0,23,27,85.2,1,17,2,0,0,Match Report,Alexis-Mac-Allister,2023-24,,,,,,,,,W,2–1,2,1,0.0,0.0,3
59,3,2023-09-03,Sun,Premier League,Matchweek 4,Home,Liverpool,Aston Villa,Y,CM,86.0,0.0,0.0,0,0,0,0,0,0,76,3,0,1,0.0,0.0,0.0,0,0,63,72,87.5,6,58,0,3,1,Match Report,Alexis-Mac-Allister,2023-24,,,,,,,,,W,3–0,3,0,1.0,1.0,4
60,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Luton Town,Brighton,N,WB,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,2.0,2.0,0.0,0.0,0.0,Match Report,Alfie-Doughty,2023-24,,,,,,,,,L,1–4,1,4,0.0,0.0,1
61,2,2023-08-25,Fri,Premier League,Matchweek 3,Away,Luton Town,Chelsea,N,"RM,RB",21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,70.0,0.0,6.0,0.0,0.0,0.0,Match Report,Alfie-Doughty,2023-24,,,,,,,,,L,0–3,0,3,0.0,0.0,3
63,4,2023-09-01,Fri,Premier League,Matchweek 4,Home,Luton Town,West Ham,Y,"RB,LB",77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,4.0,0.0,2.0,0.0,0.0,0.1,3.0,0.0,27.0,38.0,71.1,4.0,16.0,0.0,3.0,2.0,Match Report,Alfie-Doughty,2023-24,,,,,,,,,L,1–2,1,2,0.0,1.0,4
64,0,2023-08-13,Sun,Premier League,Matchweek 1,Away,Liverpool,Chelsea,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,19,25,76.0,0,20,0,0,0,Match Report,Alisson,2023-24,,,,,,,,,D,1–1,1,1,0.0,0.0,1
65,1,2023-08-19,Sat,Premier League,Matchweek 2,Home,Liverpool,Bournemouth,Y,GK,90.0,0.0,0.0,0,0,0,0,1,0,55,0,0,0,0.0,0.0,0.0,0,0,42,51,82.4,0,36,0,0,0,Match Report,Alisson,2023-24,,,,,,,,,W,3–1,3,1,0.0,1.0,2
66,2,2023-08-27,Sun,Premier League,Matchweek 3,Away,Liverpool,Newcastle Utd,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,35,48,72.9,0,35,0,0,0,Match Report,Alisson,2023-24,,,,,,,,,W,2–1,2,1,0.0,0.0,3
67,3,2023-09-03,Sun,Premier League,Matchweek 4,Home,Liverpool,Aston Villa,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,1,0,34,35,97.1,0,27,0,0,0,Match Report,Alisson,2023-24,,,,,,,,,W,3–0,3,0,1.0,1.0,4
68,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,Luton Town,Brighton,N,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,Allan-Campbell,2023-24,,,,,,,,,L,1–4,1,4,0.0,0.0,1
70,0,2023-08-12,Sat,Premier League,Matchweek 1,Away,West Ham,Bournemouth,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,9,24,37.5,0,9,0,0,0,Match Report,Alphonse-Areola,2023-24,,,,,,,,,D,1–1,1,1,0.0,0.0,1
71,1,2023-08-20,Sun,Premier League,Matchweek 2,Home,West Ham,Chelsea,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,17,32,53.1,0,13,0,0,0,Match Report,Alphonse-Areola,2023-24,,,,,,,,,W,3–1,3,1,0.0,1.0,2
72,2,2023-08-26,Sat,Premier League,Matchweek 3,Away,West Ham,Brighton,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,14,33,42.4,0,14,0,0,0,Match Report,Alphonse-Areola,2023-24,,,,,,,,,W,3–1,3,1,0.0,0.0,3
73,3,2023-09-01,Fri,Premier League,Matchweek 4,Away,West Ham,Luton Town,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,16,24,66.7,0,10,0,0,0,Match Report,Alphonse-Areola,2023-24,,,,,,,,,W,2–1,2,1,0.0,0.0,4
74,0,2023-08-26,Sat,Premier League,Matchweek 3,Home,Manchester Utd,Nott'ham Forest,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Alvaro-Fernandez,2023-24,0,0,0,0,0,0,0,0,W,3–2,3,2,0.0,1.0,3
75,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Everton,Fulham,Y,CM,90.0,0.0,0.0,0,0,1,1,0,0,38.0,0.0,1,1.0,0.1,0.1,1.1,5.0,0.0,27.0,32.0,84.4,4.0,25.0,2.0,0.0,0.0,Match Report,Amadou-Onana,2023-24,,,,,,,,,L,0–1,0,1,0.0,1.0,1
76,1,2023-08-20,Sun,Premier League,Matchweek 2,Away,Everton,Aston Villa,Y,"CM,DM",90.0,0.0,0.0,0,0,0,0,0,0,53.0,1.0,0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,42.0,83.3,5.0,32.0,0.0,0.0,0.0,Match Report,Amadou-Onana,2023-24,,,,,,,,,L,0–4,0,4,0.0,0.0,2
77,2,2023-08-26,Sat,Premier League,Matchweek 3,Home,Everton,Wolves,Y,CM,90.0,0.0,0.0,0,0,1,0,0,0,44.0,4.0,1,0.0,0.1,0.1,0.2,2.0,0.0,31.0,37.0,83.8,6.0,26.0,0.0,1.0,1.0,Match Report,Amadou-Onana,2023-24,,,,,,,,,L,0–1,0,1,0.0,1.0,3
79,4,2023-09-02,Sat,Premier League,Matchweek 4,Away,Everton,Sheffield Utd,Y,CM,90.0,0.0,0.0,0,0,1,0,0,0,55.0,2.0,0,1.0,0.0,0.0,0.8,3.0,0.0,37.0,47.0,78.7,6.0,34.0,3.0,0.0,0.0,Match Report,Amadou-Onana,2023-24,,,,,,,,,D,2–2,2,2,0.0,0.0,4
83,3,2023-08-12,Sat,Premier League,Matchweek 1,Away,Luton Town,Brighton,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,89.5,1.0,16.0,0.0,2.0,0.0,Match Report,Amari'i-Bell,2023-24,,,,,,,,,L,1–4,1,4,0.0,0.0,1
84,5,2023-08-25,Fri,Premier League,Matchweek 3,Away,Luton Town,Chelsea,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,49.0,75.5,4.0,43.0,0.0,0.0,0.0,Match Report,Amari'i-Bell,2023-24,,,,,,,,,L,0–3,0,3,0.0,0.0,3
86,7,2023-09-01,Fri,Premier League,Matchweek 4,Home,Luton Town,West Ham,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,36.0,43.0,83.7,5.0,18.0,0.0,0.0,0.0,Match Report,Amari'i-Bell,2023-24,,,,,,,,,L,1–2,1,2,0.0,1.0,4
87,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,Burnley,Manchester City,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,38.0,84.2,3.0,24.0,1.0,0.0,0.0,Match Report,Ameen-Al-Dakhil,2023-24,,,,,,,,,L,0–3,0,3,0.0,1.0,1
88,2,2023-08-27,Sun,Premier League,Matchweek 3,Home,Burnley,Aston Villa,Y,"CB,RB",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,83.0,86.7,8.0,71.0,2.0,1.0,1.0,Match Report,Ameen-Al-Dakhil,2023-24,,,,,,,,,L,1–3,1,3,0.0,1.0,3
90,4,2023-09-02,Sat,Premier League,Matchweek 4,Home,Burnley,Tottenham,Y,"RB,WB",90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,54.0,2.0,3.0,1.0,0.1,0.1,0.0,1.0,0.0,29.0,42.0,69.0,2.0,26.0,1.0,0.0,0.0,Match Report,Ameen-Al-Dakhil,2023-24,,,,,,,,,L,2–5,2,5,0.0,1.0,4
91,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,Burnley,Manchester City,N,FW,29.0,0.0,0.0,0,0,1,0,0,1,13,0,0,0,0.0,0.0,0.0,1,0,10,12,83.3,0,6,0,0,0,Match Report,Anass-Zaroury,2023-24,,,,,,,,,L,0–3,0,3,0.0,1.0,1
92,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Sheffield Utd,Crystal Palace,N,LW,4.0,0.0,0.0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,8,9,88.9,0,6,0,0,0,Match Report,Andre-Brooks,2023-24,,,,,,,,,L,0–1,0,1,0.0,1.0,1
93,1,2023-08-18,Fri,Premier League,Matchweek 2,Away,Sheffield Utd,Nott'ham Forest,N,AM,17.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,4,5,80.0,0,2,0,0,0,Match Report,Andre-Brooks,2023-24,,,,,,,,,L,1–2,1,2,0.0,0.0,2
94,2,2023-08-27,Sun,Premier League,Matchweek 3,Home,Sheffield Utd,Manchester City,N,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report,Andre-Brooks,2023-24,,,,,,,,,L,1–2,1,2,0.0,1.0,3
96,0,2023-08-12,Sat,Premier League,Matchweek 1,Home,Everton,Fulham,N,0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report,Andre-Gomes,2023-24,0,0,0,0,0,0,0,0,L,0–1,0,1,0.0,1.0,1
97,0,2023-08-14,Mon,Premier League,Matchweek 1,Home,Manchester Utd,Wolves,Y,GK,90.0,0.0,0.0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,31,43,72.1,0,30,0,0,0,Match Report,Andre-Onana,2023-24,,,,,,,,,W,1–0,1,0,1.0,1.0,1
